word,count
珪,9
岐,9
曼,9
淳,9
蜚,9
沃,9
镳,9
豫,9
窟,9
赘,9
谭,9
拭,9
麾,9
呵,9
鳏,9
镇,9
椟,9
颔,9
螂,9
瑞,9
健,9
绍,9
渠,9
谔,9
袒,9
挖,9
呕,9
梭,9
鸢,9
楞,9
愣,9
睁,9
牝,9
琐,9
每,9
曝,9
昃,9
忐,9
忑,9
莸,9
扎,8
劲,8
恼,8
诎,8
魅,8
钢,8
叛,8
阖,8
帮,8
钥,8
鲍,8
殒,8
碑,8
厮,8
绷,8
羸,8
粝,8
琶,8
笏,8
蓉,8
肓,8
辜,8
埙,8
农,8
骛,8
刊,8
症,8
绌,8
亨,8
赠,8
寰,8
觚,8
曾,8
查,8
蕴,8
嗔,8
烽,8
鞠,8
挢,8
嗜,8
叱,8
演,8
缪,8
幄,8
稠,8
杵,8
巫,8
虱,8
疥,8
范,8
绅,8
昆,8
椿,8
醇,8
航,8
簇,8
榱,8
喳,8
晷,8
搓,8
蹉,8
跎,8
仕,8
沓,8
讷,8
煞,8
卸,8
纶,8
眈,8
惮,8
叨,8
斟,8
伎,8
饴,8
颦,8
瞑,8
绠,8
溷,8
噩,8
汝,8
拂,8
讥,8
诋,8
脏,8
臆,8
孺,8
概,8
瞩,8
魁,8
擐,8
胄,8
邀,8
鸩,8
邯,8
郸,8
剜,8
狮,8
唤,8
诌,8
潭,8
瘴,8
彗,8
沌,8
烬,8
钳,8
迥,8
葭,8
锵,8
狡,8
络,8
飒,8
裾,8
浸,8
殉,8
硁,8
铿,8
括,8
嘶,8
攸,8
濯,8
懦,8
总,8
兀,8
侮,8
砲,8
毋,8
邑,8
宛,8
询,8
怏,8
悍,7
嶙,7
澈,7
葵,7
叟,7
慰,7
贷,7
臻,7
卉,7
递,7
娘,7
鹬,7
椠,7
肖,7
觥,7
预,7
蹦,7
甍,7
砚,7
髀,7
玑,7
墓,7
莲,7
篪,7
薮,7
候,7
护,7
恕,7
莠,7
疼,7
赡,7
贰,7
赢,7
恻,7
娥,7
跖,7
锺,7
篷,7
衿,7
埃,7
哄,7
拄,7
儆,7
鸮,7
棍,7
蠡,7
橐,7
咤,7
雉,7
隋,7
馆,7
囚,7
怵,7
渟,7
斝,7
吼,7
帘,7
珊,7
脍,7
宦,7
芦,7
礴,7
廷,7
猷,7
庖,7
黛,7
耽,7
郊,7
屎,7
梢,7
彫,7
槛,7
缛,7
盔,7
猎,7
挪,7
辄,7
浦,7
惺,7
睦,7
珥,7
谎,7
詈,7
狸,7
校,7
纭,7
潇,7
唳,7
饕,7
疯,7
帖,7
弭,7
黼,7
炬,7
庚,7
篑,7
彘,7
谣,7
拐,7
曜,7
苑,7
衮,7
荼,7
蒿,7
讬,7
眇,7
槐,7
悚,7
赂,7
钵,7
楫,7
飡,7
殁,7
迅,7
锱,7
级,7
滞,7
核,7
驯,7
轸,7
纠,7
狈,7
距,7
攫,7
霏,7
琅,7
崎,7
蝎,7
寥,7
籁,7
舄,7
蛛,7
狞,7
梳,7
喃,7
娉,7
婷,7
沁,7
障,7
胝,7
苫,7
岂,7
灼,7
顷,7
恂,7
稍,7
愒,7
嘻,7
逍,7
樽,7
郢,7
悼,6
忾,6
寨,6
盂,6
敖,6
擢,6
偕,6
侵,6
赎,6
芬,6
亩,6
桐,6
鸳,6
汇,6
饼,6
悴,6
肿,6
匕,6
冢,6
阱,6
